image,preset,entropy,contrast,sharpness,colorfulness,brightness,entropy_improvement,contrast_improvement,sharpness_improvement,colorfulness_improvement
low00705,illumination_only,6.2355003,23.246922982972016,74.82802733083335,18.885782615923947,129.08544583333332,3.2069728,14.47191790050332,30.15666632815902,14.485759138117595
low00705,output_only,7.4757943,56.356734820367876,1298.9801049375003,34.65956635772218,175.65760833333334,23.735716,177.51042691641518,2159.4598055854467,110.10655722130673
low00706,baseline,5.9294353,20.20278875164844,52.708091641597214,16.174841400771747,111.48874583333334,0.0,0.0,0.0,0.0
low00706,minimal,6.0565367,22.077521105467063,62.616574982222225,17.67674121588494,121.9164875,2.143567,9.279572126722623,18.798789772167048,9.285406749283704
low00706,balanced,7.381562,57.11270144794836,1054.0010874648437,38.71426680597266,173.67930416666667,24.49014,182.69711746250016,1899.695027154097,139.34866405630103
low00706,aggressive,4.262053,63.53780897852552,2742.6873223849825,30.717504317805837,223.06249166666666,-28.120422,214.50018984800386,5103.541310193166,89.9091530896879
low00706,illumination_only,6.1253037,23.13636918535907,68.56424582942708,18.504274723122357,127.75662083333333,3.3033245,14.520670733990935,30.08296011862473,14.401583697998216
low00706,output_only,7.3747478,56.62777288058335,1203.396487467899,37.90585432928338,173.23104166666667,24.375214,180.2968123693459,2183.1342399013715,134.3507017476832
low00707,baseline,6.021255,20.13948239845056,58.205520816649305,16.641684379224785,112.62835,0.0,0.0,0.0,0.0
low00707,minimal,6.1474843,22.002892103415995,69.23598749609376,18.187678444188165,123.14942083333334,2.096395,9.25252033840153,18.950894218765,9.289889350944398
low00707,balanced,7.4725375,56.74437822850763,1161.7792583333332,36.38442663688283,175.95720833333334,24.102657,181.7568848386753,1895.9949538000078,118.63427888528261
low00707,aggressive,4.403866,61.2108956912378,2933.9734529775,31.071134450204987,223.3778375,-26.86133,203.93480070742575,4940.713340955548,86.70666828048788
low00707,illumination_only,6.215447,23.05486476896493,75.75443332493057,19.051227420577888,129.0451625,3.2251072,14.475954807749503,30.149910630576333,14.478961302505766
low00707,output_only,7.4585543,56.08747702013356,1312.2947124648438,35.428451198612215,175.4589125,23.870426,178.49512668929702,2154.5880425993378,112.889815665778
low00708,baseline,6.086523,28.64579582952091,40.75335392081597,41.95187579693001,111.20854166666666,0.0,0.0,0.0,0.0
low00708,minimal,6.250716,31.366703923763513,48.35869137326389,45.914453217489886,121.907525,2.6976511,9.498455237325166,18.661868829802668,9.445530969201265
low00708,balanced,7.4135494,65.36667778163205,527.6199164410416,84.84282130932245,167.148725,21.8027,128.1894284615003,1194.666243829184,102.23844511746753
low00708,aggressive,4.645584,67.27771047867975,1408.9082635583165,86.9587509095786,211.18611666666666,-23.674253,134.8606786108094,3357.1590507515884,107.28215188876521
low00708,illumination_only,6.428546,32.20253136362001,45.962141296597224,46.679711439062835,123.79390833333333,5.619348,12.416256665607134,12.781248350508681,11.269664472258953
low00708,output_only,7.199094,63.69883790802666,648.5630164330557,81.98403361113273,161.64168333333333,18.27925,122.36714346187534,1491.4347017750194,95.42399965136296
low00709,baseline,5.9962316,28.743352291238818,40.83189941222222,42.63358348878552,111.72444166666666,0.0,0.0,0.0,0.0
low00709,minimal,6.167537,31.488643638662946,48.45909133604167,46.65397257460961,122.492575,2.8568885,9.551047907035231,18.679493321675857,9.430098895819135
low00709,balanced,7.3273573,65.28435530619095,524.5486426974826,85.665583398047,167.14340416666667,22.199371,127.12853617318007,1184.654033362135,100.93451309477837
low00709,aggressive,4.6459184,67.43305296703835,1404.6681877499998,88.29633930663769,211.14932083333332,-22.519363,134.60399567795866,3340.1245300127775,107.10513187300677
low00709,illumination_only,6.385068,32.371734503749295,46.09487448638889,47.43701270695047,124.39457916666667,6.484679,12.623378705957114,12.889371177749572,11.266773339446027
low00709,output_only,7.0927954,63.65329198517489,648.6784636041664,83.04920681325926,162.33325833333333,18.28755,121.45396034608278,1488.6561069701238,94.79762200872653
low00710,baseline,6.0441055,25.00545393741217,69.28385063539932,28.69501484421049,129.299775,0.0,0.0,0.0,0.0
low00710,minimal,6.1456084,26.833266959440426,86.8362534933333,32.17885400215293,144.71700833333333,1.67937,7.3096574315475795,25.334046385935,12.140921260562934
low00710,balanced,7.2492867,52.10542843703453,643.7955068965973,46.01028182567443,148.0769625,19.939775,108.37625490604053,829.2143854482327,60.342422108756885
low00710,aggressive,4.726925,59.300508568261264,2255.9131634982637,61.21809933303022,221.5649375,-21.792812,137.15029815770788,3156.04472443344,113.3405389939416
low00710,illumination_only,6.423912,28.811346713374302,82.36823707993055,30.794098309147625,139.59764166666668,6.283916,15.220250692061645,18.885189441023943,7.3151503016582184
low00710,output_only,7.05016,52.436957563641066,989.4329231766492,54.52748418140007,173.3818625,16.645216,109.70208217330925,1328.0859307076628,90.02424106569697
low00711,baseline,6.0401783,25.01400458852861,70.187183615816,28.624909932559092,129.26669166666667,0.0,0.0,0.0,0.0
low00711,minimal,6.1383705,26.85187091628683,88.12556193604165,32.09644271807703,144.66369166666667,1.6256509,7.347349446801747,25.55791156746659,12.127663610809408
low00711,balanced,7.258776,52.09782994691533,651.7625095555555,45.96194101732011,147.918925,20.174868,108.27464775794968,828.6061585304689,60.56623802697524
low00711,aggressive,4.7225275,59.30483741030307,2280.838435791042,61.01034374901082,221.60149583333333,-21.814766,137.08653766498543,3149.650888224381,113.13724267692899
low00711,illumination_only,6.4344625,28.832060562346495,83.47769930831599,30.703740708935165,139.50062916666667,6.527692,15.263673436634932,18.935815640143602,7.26231377242354
low00711,output_only,7.0524225,52.500601970675184,1002.8029033055552,54.465752910865476,173.34365833333334,16.758514,109.88483385324032,1328.7550114485337,90.27397130397256
low00712,baseline,4.692147,15.831404123958613,61.049553069982665,15.32260738224516,136.7904625,0.0,0.0,0.0,0.0
low00712,minimal,4.705662,17.2420605645033,74.40343916493055,17.006970531677805,151.3943,0.28803438,8.910494795656547,21.87384742954626,10.992666635734436
low00712,balanced,6.566742,39.47802679601144,824.4946210458162,41.70275383861683,177.59945833333333,39.95176,149.3652899446043,1250.533426675011,172.16486592836196
low00712,aggressive,3.0810342,49.01260552546076,2471.515469947483,38.247249649093824,236.5225375,-34.336365,209.59102011227827,3948.3760251517674,149.61319372714757
low00712,illumination_only,5.54198,18.540937787679383,74.5677637775,16.813154884204774,150.95185833333332,18.111816,17.11492955713429,22.143013384587874,9.72776672256684
